example_id                                   | status | run_time     |
-------------------------------------------- | ------ | ------------ |
./spec/requests/recipes_index_spec.rb[1:1:1] | passed | 1.38 seconds |
./spec/requests/recipes_index_spec.rb[1:1:2] | passed | 1.34 seconds |
./spec/requests/recipes_index_spec.rb[1:1:3] | passed | 1.32 seconds |
./spec/requests/recipes_index_spec.rb[1:1:4] | passed | 1.35 seconds |
./spec/requests/recipes_index_spec.rb[1:1:5] | passed | 1.44 seconds |
./spec/requests/recipes_index_spec.rb[1:1:6] | passed | 1.42 seconds |
./spec/requests/recipes_index_spec.rb[1:1:7] | passed | 4.68 seconds |
./spec/requests/recipes_index_spec.rb[1:1:8] | passed | 1.31 seconds |
